,corridor_name,train_year,train_week_num,train_departure_date_short,passengers,number_of_services,revenue,revenue_without_promotion,passengers_km
0,MAK-MAD,2021,53,2022-01-01,2579,12,419576.00,451077.0000,960687.672
1,MAK-MAD,2022,1,2022-01-02,2038,12,343511.50,374778.0000,771785.126
2,MAK-MAD,2022,1,2022-01-03,1900,12,320459.00,345114.5000,730788.374
3,MAK-MAD,2022,1,2022-01-04,1810,12,306953.00,329255.0000,674187.758
4,MAK-MAD,2022,1,2022-01-05,2440,14,395531.00,422114.0000,936571.790
5,MAK-MAD,2022,1,2022-01-06,3442,14,538164.50,575030.0000,1313089.608
6,MAK-MAD,2022,1,2022-01-07,3114,14,451650.00,477091.0000,1159814.320
7,MAK-MAD,2022,1,2022-01-08,3839,14,586059.00,621117.0000,1446221.690
8,MAK-MAD,2022,2,2022-01-09,3598,14,528786.50,563457.5000,1366399.836
9,MAK-MAD,2022,2,2022-01-10,3809,14,561297.00,592821.5000,1446969.458
10,MAK-MAD,2022,2,2022-01-11,3961,14,591243.50,627433.5000,1507155.300
11,MAK-MAD,2022,2,2022-01-12,3956,14,566695.00,600854.0000,1458949.298
12,MAK-MAD,2022,2,2022-01-13,3938,14,580480.00,617545.5000,1475633.484
13,MAK-MAD,2022,2,2022-01-14,3231,14,474356.50,503127.0000,1233161.778
14,MAK-MAD,2022,2,2022-01-15,3623,14,521686.50,554034.5000,1373776.018
15,MAK-MAD,2022,3,2022-01-16,1825,12,248419.00,261760.5000,704155.722
16,MAK-MAD,2022,3,2022-01-17,1853,12,263992.50,279834.5000,726016.782
17,MAK-MAD,2022,3,2022-01-18,2041,12,300812.50,320520.0000,805560.944
18,MAK-MAD,2022,3,2022-01-19,2385,12,336328.00,356359.5000,912795.558
19,MAK-MAD,2022,3,2022-01-20,2619,12,393720.50,417755.0000,1015617.454
20,MAK-MAD,2022,3,2022-01-21,2100,12,309925.00,329795.0000,818788.382
21,MAK-MAD,2022,3,2022-01-22,2764,12,407088.00,429925.0000,1060088.768
22,MAK-MAD,2022,4,2022-01-23,1533,12,219436.00,231839.5000,602630.212
23,MAK-MAD,2022,4,2022-01-24,1630,12,237375.50,250479.5000,640241.164
24,MAK-MAD,2022,4,2022-01-25,1680,12,244821.50,258957.5000,664910.058
25,MAK-MAD,2022,4,2022-01-26,2097,12,330117.00,351360.0000,849613.442
26,MAK-MAD,2022,4,2022-01-27,2809,12,417560.50,442457.5000,1064080.822
27,MAK-MAD,2022,4,2022-01-28,2325,12,346067.00,367672.0000,891874.798
28,MAK-MAD,2022,4,2022-01-29,2973,12,435765.50,462370.5000,1114004.048
29,MAK-MAD,2022,5,2022-01-30,1874,12,270310.00,288244.0000,729773.792
30,MAK-MAD,2022,5,2022-01-31,1913,12,279021.00,296398.0000,750992.616
31,MAK-MAD,2022,5,2022-02-01,3176,12,471077.00,501278.5000,1203019.182
32,MAK-MAD,2022,5,2022-02-02,3495,12,534990.00,573824.5000,1327769.820
33,MAK-MAD,2022,5,2022-02-03,3618,12,569750.00,605303.5000,1386414.180
34,MAK-MAD,2022,5,2022-02-04,3337,12,509706.50,541693.5000,1262844.800
35,MAK-MAD,2022,5,2022-02-05,4083,12,644411.50,687701.0000,1552342.648
36,MAK-MAD,2022,6,2022-02-06,2217,12,328752.00,348431.0000,872881.910
37,MAK-MAD,2022,6,2022-02-07,1755,12,257005.50,272572.0000,690148.378
38,MAK-MAD,2022,6,2022-02-08,2008,12,303696.00,323153.5000,802344.314
39,MAK-MAD,2022,6,2022-02-09,2271,12,344461.00,366864.0000,893739.052
40,MAK-MAD,2022,6,2022-02-10,3147,12,492651.50,525826.0000,1213977.580
41,MAK-MAD,2022,6,2022-02-11,2415,12,363897.50,389576.0000,928486.596
42,MAK-MAD,2022,6,2022-02-12,3299,12,526865.50,559737.5000,1289120.998
43,MAK-MAD,2022,7,2022-02-13,2509,12,347828.72,423895.5000,1017881.682
44,MAK-MAD,2022,7,2022-02-14,2114,12,329572.50,351686.5000,846367.200
45,MAK-MAD,2022,7,2022-02-15,2425,12,395468.50,418887.5000,980348.820
46,MAK-MAD,2022,7,2022-02-16,2829,12,450243.00,481120.5000,1129827.952
47,MAK-MAD,2022,7,2022-02-17,3510,12,564101.00,597437.0000,1350993.444
48,MAK-MAD,2022,7,2022-02-18,2975,12,478414.00,510006.5000,1145223.902
49,MAK-MAD,2022,7,2022-02-19,3645,12,585875.00,623338.0000,1411286.236
50,MAK-MAD,2022,8,2022-02-20,2560,12,392994.50,420350.5000,1015290.604
51,MAK-MAD,2022,8,2022-02-21,3622,12,559728.50,596027.0000,1383072.942
52,MAK-MAD,2022,8,2022-02-22,4246,12,696605.50,740371.0000,1650900.924
53,MAK-MAD,2022,8,2022-02-23,4166,12,694978.50,741606.0000,1604944.428
