,corridor_name,train_year,train_week_num,train_departure_date_short,passengers,number_of_services,revenue,revenue_without_promotion,passengers_km,seats_km,day_category,price_mix_ratio,tickets_saudi,tickets_egyptian,tickets_pakistani,tickets_indian,tickets_yemeni,tickets_indonesian,tickets_jordanian,tickets_USA,tickets_britain
0,MAK-MAD,2021,53,2022-01-01,2579,12,419576.00,451077.0000,960687.672,2240230.752,Christmas,1.12900348972469949593,1312,156,56,84,51,13,41,108,24
1,MAK-MAD,2022,1,2022-01-02,2038,12,343511.50,374778.0000,771785.126,2240230.752,Christmas,1.12644749754661432777,882,112,40,59,51,15,55,58,34
2,MAK-MAD,2022,1,2022-01-03,1900,12,320459.00,345114.5000,730788.374,2240230.752,Christmas,1.14226315789473684211,981,97,40,39,58,10,59,65,36
3,MAK-MAD,2022,1,2022-01-04,1810,12,306953.00,329255.0000,674187.758,2240230.752,Christmas,1.17303867403314917127,1089,85,46,40,34,4,14,45,41
4,MAK-MAD,2022,1,2022-01-05,2440,14,395531.00,422114.0000,936571.790,2613602.544,Christmas,1.14508196721311475410,1405,121,70,40,71,19,12,99,48
5,MAK-MAD,2022,1,2022-01-06,3442,14,538164.50,575030.0000,1313089.608,2613602.544,Christmas,1.13814642649622312609,2190,142,48,65,106,27,42,132,36
6,MAK-MAD,2022,1,2022-01-07,3114,14,451650.00,477091.0000,1159814.320,2613602.544,Christmas,1.10520231213872832370,2036,161,59,51,99,20,33,38,35
7,MAK-MAD,2022,1,2022-01-08,3839,14,586059.00,621117.0000,1446221.690,2613602.544,Christmas,1.13761396196926282886,2638,196,62,59,88,12,50,73,36
8,MAK-MAD,2022,2,2022-01-09,3598,14,528786.50,563457.5000,1366399.836,2613602.544,Winter,1.09171762090050027793,2412,148,50,46,114,11,53,68,37
9,MAK-MAD,2022,2,2022-01-10,3809,14,561297.00,592821.5000,1446969.458,2613602.544,Winter,1.10955631399317406143,2655,149,42,37,111,7,50,75,48
10,MAK-MAD,2022,2,2022-01-11,3961,14,591243.50,627433.5000,1507155.300,2613602.544,Winter,1.10065639989901540015,2808,131,66,19,101,13,28,68,31
11,MAK-MAD,2022,2,2022-01-12,3956,14,566695.00,600854.0000,1458949.298,2613602.544,Winter,1.10108695652173913043,2926,163,59,38,113,9,46,58,41
12,MAK-MAD,2022,2,2022-01-13,3938,14,580480.00,617545.5000,1475633.484,2613602.544,Winter,1.09697816150330116811,2498,242,52,71,134,20,23,89,36
13,MAK-MAD,2022,2,2022-01-14,3231,14,474356.50,503127.0000,1233161.778,2613602.544,Winter,1.08449396471680594243,2116,204,70,51,86,16,41,54,28
14,MAK-MAD,2022,2,2022-01-15,3623,14,521686.50,554034.5000,1373776.018,2613602.544,Winter,1.09373447419265801822,2439,183,54,68,123,15,48,85,46
15,MAK-MAD,2022,3,2022-01-16,1825,12,248419.00,261760.5000,704155.722,2240230.752,Winter,1.02580821917808219178,1048,94,36,40,55,10,44,38,47
16,MAK-MAD,2022,3,2022-01-17,1853,12,263992.50,279834.5000,726016.782,2240230.752,Winter,1.02428494333513221802,1021,97,36,28,37,9,27,51,30
17,MAK-MAD,2022,3,2022-01-18,2041,12,300812.50,320520.0000,805560.944,2240230.752,Winter,1.03909848113669769721,1064,102,49,28,45,19,30,63,51
18,MAK-MAD,2022,3,2022-01-19,2385,12,336328.00,356359.5000,912795.558,2240230.752,Winter,1.03509433962264150943,1305,120,33,31,59,8,42,82,29
19,MAK-MAD,2022,3,2022-01-20,2619,12,393720.50,417755.0000,1015617.454,2240230.752,Winter,1.06517754868270332188,1466,198,69,51,46,11,47,98,15
20,MAK-MAD,2022,3,2022-01-21,2100,12,309925.00,329795.0000,818788.382,2240230.752,Winter,1.04357142857142857143,1006,190,72,59,48,15,53,50,30
21,MAK-MAD,2022,3,2022-01-22,2764,12,407088.00,429925.0000,1060088.768,2240230.752,Winter,1.07087554269175108538,1603,175,65,76,71,11,95,70,25
22,MAK-MAD,2022,4,2022-01-23,1533,12,219436.00,231839.5000,602630.212,2240230.752,Winter,1.01213307240704500978,714,100,40,36,57,7,56,65,51
23,MAK-MAD,2022,4,2022-01-24,1630,12,237375.50,250479.5000,640241.164,2240230.752,Winter,1.02374233128834355828,799,139,25,32,44,5,34,111,33
24,MAK-MAD,2022,4,2022-01-25,1680,12,244821.50,258957.5000,664910.058,2240230.752,Winter,1.02285714285714285714,845,119,51,37,52,9,27,59,39
25,MAK-MAD,2022,4,2022-01-26,2097,12,330117.00,351360.0000,849613.442,2240230.752,Winter,1.04048640915593705293,936,122,54,32,69,5,24,59,30
26,MAK-MAD,2022,4,2022-01-27,2809,12,417560.50,442457.5000,1064080.822,2240230.752,Winter,1.07892488430046279815,1622,205,87,78,97,9,42,47,34
27,MAK-MAD,2022,4,2022-01-28,2325,12,346067.00,367672.0000,891874.798,2240230.752,Winter,1.05329032258064516129,1197,249,68,64,43,10,41,22,48
28,MAK-MAD,2022,4,2022-01-29,2973,12,435765.50,462370.5000,1114004.048,2240230.752,Winter,1.08284561049445005045,1853,172,75,63,64,20,48,57,39
29,MAK-MAD,2022,5,2022-01-30,1874,12,270310.00,288244.0000,729773.792,2240230.752,Winter,1.01296691568836712914,872,127,49,43,92,6,34,72,56
30,MAK-MAD,2022,5,2022-01-31,1913,12,279021.00,296398.0000,750992.616,2240230.752,Winter,1.02744380554103502352,958,125,59,30,59,1,17,65,36
31,MAK-MAD,2022,5,2022-02-01,3176,12,471077.00,501278.5000,1203019.182,2240230.752,Winter,1.10239294710327455919,2168,148,46,17,103,14,20,45,34
32,MAK-MAD,2022,5,2022-02-02,3495,12,534990.00,573824.5000,1327769.820,2240230.752,Winter,1.10884120171673819742,2595,158,22,14,87,9,37,29,34
33,MAK-MAD,2022,5,2022-02-03,3618,12,569750.00,605303.5000,1386414.180,2240230.752,Winter,1.11915422885572139303,2397,193,61,52,120,16,42,39,23
34,MAK-MAD,2022,5,2022-02-04,3337,12,509706.50,541693.5000,1262844.800,2240230.752,Winter,1.10545400059934072520,2298,221,63,32,104,12,24,38,35
35,MAK-MAD,2022,5,2022-02-05,4083,12,644411.50,687701.0000,1552342.648,2240230.752,Winter,1.14276267450404114622,2869,224,64,38,90,28,87,46,30
36,MAK-MAD,2022,6,2022-02-06,2217,12,328752.00,348431.0000,872881.910,2240230.752,Winter,1.03924221921515561570,1172,134,44,47,58,3,41,46,50
37,MAK-MAD,2022,6,2022-02-07,1755,12,257005.50,272572.0000,690148.378,2240230.752,Winter,1.02615384615384615385,855,109,44,33,43,2,22,55,61
38,MAK-MAD,2022,6,2022-02-08,2008,12,303696.00,323153.5000,802344.314,2240230.752,Winter,1.03764940239043824701,1025,159,40,37,70,16,13,62,54
39,MAK-MAD,2022,6,2022-02-09,2271,12,344461.00,366864.0000,893739.052,2240230.752,Winter,1.04768824306472919419,1269,186,50,61,44,7,36,62,58
40,MAK-MAD,2022,6,2022-02-10,3147,12,492651.50,525826.0000,1213977.580,2240230.752,Winter,1.09799809342230695901,1766,285,60,65,86,26,29,62,45
41,MAK-MAD,2022,6,2022-02-11,2415,12,363897.50,389576.0000,928486.596,2240230.752,Winter,1.05763975155279503106,1272,285,71,81,57,10,16,39,38
42,MAK-MAD,2022,6,2022-02-12,3299,12,526865.50,559737.5000,1289120.998,2240230.752,Winter,1.10839648378296453471,1898,277,111,60,98,16,51,72,59
43,MAK-MAD,2022,7,2022-02-13,2509,12,347828.72,423895.5000,1017881.682,2240230.752,Winter,1.04902351534475886807,915,203,59,33,57,9,16,65,66
44,MAK-MAD,2022,7,2022-02-14,2114,12,329572.50,351686.5000,846367.200,2240230.752,Winter,1.05165562913907284768,890,160,62,29,80,7,22,73,100
45,MAK-MAD,2022,7,2022-02-15,2425,12,395468.50,418887.5000,980348.820,2240230.752,Winter,1.08028865979381443299,1037,196,56,46,64,5,20,57,136
46,MAK-MAD,2022,7,2022-02-16,2829,12,450243.00,481120.5000,1129827.952,2240230.752,Winter,1.07571580063626723224,1421,209,35,60,70,7,16,110,143
47,MAK-MAD,2022,7,2022-02-17,3510,12,564101.00,597437.0000,1350993.444,2240230.752,Winter,1.12504273504273504274,1843,275,110,114,72,22,42,41,80
48,MAK-MAD,2022,7,2022-02-18,2975,12,478414.00,510006.5000,1145223.902,2240230.752,Winter,1.10134453781512605042,1367,329,79,93,84,8,32,51,48
49,MAK-MAD,2022,7,2022-02-19,3645,12,585875.00,623338.0000,1411286.236,2240230.752,Winter,1.11481481481481481481,1974,297,102,90,117,64,52,55,84
50,MAK-MAD,2022,8,2022-02-20,2560,12,392994.50,420350.5000,1015290.604,2240230.752,Winter,1.05097656250000000000,1255,184,63,49,91,10,64,78,88
51,MAK-MAD,2022,8,2022-02-21,3622,12,559728.50,596027.0000,1383072.942,2240230.752,Winter,1.12150745444505797902,2241,187,66,78,130,10,10,90,91
52,MAK-MAD,2022,8,2022-02-22,4246,12,696605.50,740371.0000,1650900.924,2240230.752,Foundation Day,1.13374941121055110692,2587,215,59,56,92,25,40,186,91
53,MAK-MAD,2022,8,2022-02-23,4166,12,694978.50,741606.0000,1604944.428,2240230.752,School Leaves,1.13026884301488238118,2583,218,71,59,86,14,50,121,85
54,MAK-MAD,2022,8,2022-02-24,4275,12,716486.50,767166.0000,1643568.128,2240230.752,School Leaves,1.13494736842105263158,2589,251,73,66,82,19,34,176,98
55,MAK-MAD,2022,8,2022-02-25,3757,12,609953.00,651732.5000,1438280.536,2240230.752,School Leaves,1.12360926270960873037,2298,219,77,58,60,6,21,68,31
56,MAK-MAD,2022,8,2022-02-26,4587,12,773559.50,824752.0000,1767514.504,2240230.752,School Leaves,1.17338129496402877698,2762,221,56,68,97,26,61,94,130
57,MAK-MAD,2022,9,2022-02-27,2849,12,459515.50,487663.5000,1131066.438,2240230.752,Pre Ramadan,1.08687258687258687259,1266,188,53,47,59,15,16,87,76
58,MAK-MAD,2022,9,2022-02-28,2826,13,476017.50,509537.0000,1133667.648,2426916.648,Pre Ramadan,1.07823779193205944798,1279,170,43,44,66,13,36,66,69
59,MAK-MAD,2022,9,2022-03-01,3341,13,511015.00,554087.5000,1359648.252,2426916.648,Pre Ramadan,1.00000000000000000000,1618,175,56,42,63,37,24,81,50
60,MAK-MAD,2022,9,2022-03-02,3667,12,551229.50,596619.5000,1466467.746,2240230.752,Pre Ramadan,1.00000000000000000000,1864,188,46,25,100,27,15,89,59
61,MAK-MAD,2022,9,2022-03-03,4093,13,587131.00,636411.0000,1576897.986,2426916.648,Pre Ramadan,1.00000000000000000000,2110,407,93,115,121,40,48,54,80
62,MAK-MAD,2022,9,2022-03-04,3338,13,477290.00,518686.5000,1266064.064,2426916.648,Pre Ramadan,1.00000000000000000000,1550,283,90,109,72,9,25,60,70
63,MAK-MAD,2022,9,2022-03-05,4054,13,595547.50,643954.0000,1598103.298,2426916.648,Pre Ramadan,1.00000000000000000000,1933,271,118,108,143,19,58,63,48
64,MAK-MAD,2022,10,2022-03-06,2620,12,384355.50,412839.5000,1045063.126,2240230.752,Pre Ramadan,1.00790076335877862595,1015,145,68,74,90,42,35,70,78
65,MAK-MAD,2022,10,2022-03-07,2485,13,390044.00,421787.0000,984716.412,2426916.648,Pre Ramadan,1.03488933601609657948,1030,156,61,56,79,21,14,66,104
66,MAK-MAD,2022,10,2022-03-08,2561,12,400918.29,436513.5000,1015598.156,2240230.752,Pre Ramadan,1.04263959390862944162,1159,148,38,31,105,25,31,92,54
67,MAK-MAD,2022,10,2022-03-09,3338,12,521514.00,558976.5000,1285325.856,2240230.752,Pre Ramadan,1.07693229478729778310,1675,245,81,56,119,28,44,132,75
68,MAK-MAD,2022,10,2022-03-10,4682,13,766220.50,823711.0000,1773430.318,2426916.648,School Leaves,1.13007261853908586074,2887,264,77,84,124,65,57,49,67
69,MAK-MAD,2022,10,2022-03-11,4335,12,694275.50,742531.0000,1632112.750,2240230.752,School Leaves,1.13854671280276816609,2587,295,101,118,124,30,44,73,61
70,MAK-MAD,2022,10,2022-03-12,4742,12,780755.50,837044.5000,1789796.570,2240230.752,School Leaves,1.15993251792492619148,3033,256,114,59,115,39,67,81,131
71,MAK-MAD,2022,11,2022-03-13,4545,12,754389.00,806367.0000,1741885.508,2240230.752,School Leaves,1.13729372937293729373,2849,206,69,43,124,37,37,76,75
72,MAK-MAD,2022,11,2022-03-14,4774,13,772486.00,828055.5000,1778308.368,2426916.648,School Leaves,1.14629241726015919564,3157,274,78,56,100,17,45,67,120
73,MAK-MAD,2022,11,2022-03-15,4892,12,832431.50,890253.0000,1856160.752,2240230.752,School Leaves,1.15300490596892886345,3148,260,45,62,82,27,61,131,56
74,MAK-MAD,2022,11,2022-03-16,4825,12,809477.00,866827.5000,1849263.892,2240230.752,School Leaves,1.13355440414507772021,2990,258,57,82,116,19,47,357,72
75,MAK-MAD,2022,11,2022-03-17,5351,14,891615.00,953103.5000,2028770.950,2613602.544,School Leaves,1.15451317510745655018,2898,392,111,149,159,98,94,108,75
76,MAK-MAD,2022,11,2022-03-18,4677,14,737764.50,788779.5000,1754235.510,2613602.544,School Leaves,1.13810134701731879410,2563,335,137,127,179,37,63,92,78
77,MAK-MAD,2022,11,2022-03-19,4593,14,734047.50,788854.5000,1801234.372,2613602.544,School Leaves,1.14421946440235140431,2578,309,131,132,123,23,39,128,72
78,MAK-MAD,2022,12,2022-03-20,2960,14,448958.00,480145.5000,1136875.302,2613602.544,School Leaves,1.06182432432432432432,1413,190,99,76,96,24,51,82,49
79,MAK-MAD,2022,12,2022-03-21,2869,12,475342.50,509560.5000,1146462.180,2240230.752,School Leaves,1.08281631230393865458,1157,291,66,74,70,61,46,111,89
80,MAK-MAD,2022,12,2022-03-22,2995,12,487332.00,522093.0000,1200890.372,2240230.752,School Leaves,1.07552587646076794658,1297,236,101,81,76,56,16,152,72
81,MAK-MAD,2022,12,2022-03-23,3481,12,598999.00,641399.0000,1377402.164,2240230.752,School Leaves,1.11022694627980465384,1573,253,102,136,95,18,67,210,40
82,MAK-MAD,2022,12,2022-03-24,4329,12,730279.50,782458.0000,1658538.826,2240230.752,School Leaves,1.14255024255024255024,1939,372,168,189,150,63,46,215,61
83,MAK-MAD,2022,12,2022-03-25,3555,12,563413.60,625268.5000,1364938.050,2240230.752,School Leaves,1.10624472573839662447,1421,322,138,141,82,77,64,83,51
84,MAK-MAD,2022,12,2022-03-26,4539,12,804226.00,861265.0000,1763566.594,2240230.752,School Leaves,1.17045604758757435558,2232,326,138,156,136,94,99,91,57
85,MAK-MAD,2022,13,2022-03-27,3205,12,520463.50,556213.5000,1258423.286,2240230.752,School Leaves,1.09622464898595943838,1324,295,107,98,99,69,86,106,63
86,MAK-MAD,2022,13,2022-03-28,3321,12,567766.50,609874.5000,1302098.500,2240230.752,School Leaves,1.09810298102981029810,1153,463,140,112,84,65,63,122,77
87,MAK-MAD,2022,13,2022-03-29,3483,12,602481.50,646464.0000,1401300.572,2240230.752,School Leaves,1.12833763996554694229,1487,269,129,92,98,54,51,98,68
88,MAK-MAD,2022,13,2022-03-30,3680,12,631878.00,673411.0000,1438043.798,2240230.752,School Leaves,1.13002717391304347826,1457,287,127,100,112,77,95,147,81
89,MAK-MAD,2022,13,2022-03-31,4150,13,719221.00,770586.5000,1607440.712,2426916.648,School Leaves,1.15151807228915662651,1873,303,140,168,149,62,88,142,81
90,MAK-MAD,2022,13,2022-04-01,3722,12,635120.00,682918.0000,1429236.134,2240230.752,School Leaves,1.11921010209564750134,1410,405,210,132,104,80,59,145,76
91,MAK-MAD,2022,13,2022-04-02,2989,14,619225.00,647787.5000,1202589.870,2613602.544,Ramadan 1-18,1.25202408832385413182,918,364,139,82,65,64,191,67,92
92,MAK-MAD,2022,14,2022-04-03,3553,19,626488.00,650057.0000,1436010.864,3547032.024,Ramadan 1-18,1.11010413734871939206,1154,437,204,213,96,87,58,100,111
93,MAK-MAD,2022,14,2022-04-04,4029,20,741722.00,766999.5000,1670495.806,3733717.920,Ramadan 1-18,1.11749813849590469099,1374,361,185,167,107,111,44,147,121
